笔记链接,笔记标题,点赞数,收藏数,笔记内容,笔记标签
https://www.xiaohongshu.com/explore/6467241f000000001303d012,西安后海🌊,641,289,1⃣📍：浐灞后海观景平台2⃣🚃交通路线：地铁3号线(保税区方向)香湖湾B2口出p3在浐灞中心,"#西安后海,#日落,#氛围感,#浐灞,#周末去哪儿,#西安周边"
https://www.xiaohongshu.com/explore/6422552a000000001203ca73,西安后海,357,222,攻略西安北站到后海：地铁2号线到小寨换往保税区方向的3号线坐到香湖湾（地铁开着开着就到了地上，有一段路程横跨后海，景色很好看）地铁通勤时间大概一个半小时左右。可以在小寨附近玩过之后再去后海那边，到了香湖湾在A1口出绕着西安世博园游玩，风景很好，罗曼小镇也在里面，都是欧式建筑很出片，很多拍婚纱照的。再回到A1口可以步行也可以骑共享单车去后海那边，两个地方离的不远。总结：小寨、后海、罗曼小镇得空出一天的时间玩，因为通勤时间有点长。如果不是很晚，可以从后海坐3号线到咸宁路换乘6号线到钟楼打卡拍照📷,#西安旅行
https://www.xiaohongshu.com/explore/64a04fbe0000000013014e60,总要去一趟西安后海吧，一起看海吹风吧,920,365,不需要门票和预约夏天建议大家七八点钟去 白天真的特别热特别晒!而且没有室内避暑的地方大桥开灯时间是在周末的七八点左右村上春树说:“看海看久了想见人，见人见多了想看海。”不得不承认海洋的治愈力量是无限的。我希望从大海的蓝中找寻力量，即便是散发着海潮的湿濡味，也依然想靠近你。如余光中写的:“与海为邻，住在无尽蓝的隔壁，却无壁可隔，一无所有，却拥有一切夜晚有夜市，9点30前大桥会亮拍照绝美桥上有超多骑摩托车的小哥哥夜市有卖各种小吃的周六日人多，建议不要开车哦，不好停车，而且不好出去,"#总要去一趟西安的后海吧,#西安浐灞后海,#西安后海"
https://www.xiaohongshu.com/explore/6412fdbf0000000013032ac4,西安旅游骑行路线推荐系列之～后海不是海,55,27,这里水面宽阔、碧波荡漾，这里杨柳依依、风景秀丽，这里是西安新晋打卡地一西安后海[自拍R][种草R]景点介绍[种草R][拔草R]西安的后海就是灞河提升水位的人造景观，湖水清澈，波光粼粼，美不胜收！灞河两岸修起观景台，供游人在这里观景游玩；夜幕降临，霓虹闪烁，灞河两岸建筑、景观、不远处的彩虹桥倒映在水面上，五光十色，恍惚间犹如来到了上海外滩，美的让人沉醉[微笑R]夏天的傍晚，市区燥热难耐，唯有这里能有丝丝丝清涼，远的、近的市民都从四面八方来到这，或避暑纳凉，或慢跑健身，或观景拍照，或露营钓鱼，或摆摊叫卖，搞得后海好不热用，曾由这里掀起西安后备箱经济的热潮[自拍R]打卡攻略[自拍R][抠鼻R]来后海除观赏后海“海景”之余，还可以泛舟后海，体验“海上冲浪”的乐趣，乘船体验时间约三十分钟[派对R]后海最佳观赏时间是下午的五点到晚上九点夏季也可以再晚一点，这个时间段非常适合拍照，另外这个时间段既能看到傍晚夕阳西下，霞光洒于后海的惊艳 景色，也可以欣赏彩虹桥如梦似幻的灯光秀[吧唧R]周边的河堤路上非常适合骑行，享受惬意的晚风以及光怪陆离的景色，体会不一样的旅途[公路车R]骑行攻略[公路车R][斜眼R]租车点：地铁做到李家村B口100米[派对R]目的地：西安世博园总里程18公里，沿途路过西安城墙、灞河河堤路（参考图四）,"#电动车,#西安旅游,#西安,#西安大学生"
https://www.xiaohongshu.com/explore/648810840000000027028052,西安后海｜属于这座城市的浪漫💕,100,31,落日把这片后海显得浪漫极了来一杯手打柠檬茶逛着这座城市最“野”的街印着这片夕阳把想你的风吹到后海,"#后海,#浪漫,#遛娃好去处,#集市,#西安"
https://www.xiaohongshu.com/explore/64d88966000000000c034bd8,西安后海呐❤,12,2,人超级多，到晚上12点，所有人才会慢慢的往回走。拍照还是挺有氛围感的，主要就是10点左右彩虹桥上面的灯会关掉。还有小吃街，小吃街上面的东西罢了，也不贵，就是普通夜市上面的小吃。还有各种调的酒，就还不错，价格也和南门的差不多。就整个环境都挺有氛围感的，吹吹小风~喝喝酒。帅哥美女也是比较多的。要去的话可以带个打光灯，要不然整张脸都是黑的看不清楚。附近也有共享充电宝，外面还有蹦蹦送你到地铁口~挺推荐的！！！太爱了~❤,
https://www.xiaohongshu.com/explore/6425050c000000001303eff9,终于知道为什么叫后海了，原来西安真的有海,83,35,之前去后海都是晚上去的，就是为了看夜景和找好吃的，这次有空就下午去，最近天气合适不像夏天那么热，周内就有好多人来露营了，我就想问这么多人不上班的嘛，大家可以下午来露营、晒太阳，晚上吃完好吃的看完夜景再走。白天沐浴着阳光看着宽阔的河面真的很治愈，也许我们去不了真正的海边，那就来后海享受片刻的宁静吧。地址：AR浐灞后海观景平台 西安市灞桥区,"#西安后海,#西安浐灞后海,#西安浐灞,#五一游玩,#浐灞后海"
https://www.xiaohongshu.com/explore/650f6c7f000000001d017c02,西安后海,54,22,在夜晚，在城市边缘，总有孤独与自由存在。🏷路线：地铁3号线到香湖湾，B2出来后打车过去就可以啦！🏷开灯时间：晚上八点🏷傍晚日落与夜景都很棒！值得一来！,"#蓝色系,#桥梁,#水波纹"
https://www.xiaohongshu.com/explore/65216d1e000000001e021854,号外!号外!浐灞后海夜市关闭!不要再跑空了,23,8,刚去过，好多警车🚓 在路口拦截车辆和行人🚶🏻‍♀️问了下“👮🏻‍♀️叔叔”，说以后也不开了，也许换地方了 ，但没说具体是哪里，等后续再来找到根据地我和大家通报。近期天气好转了，大家要来玩的不要跑空了,"#西安浐灞后海,#不懂就问有问必答"
https://www.xiaohongshu.com/explore/65c794a3000000002c0362da,西安后海,16,2,,
https://www.xiaohongshu.com/explore/6452414d000000000800ea83,😭哭了 千万别相信西安后海 本地人都上当了,10+,1,次次都上当 当当不一样 心心念念去了所谓的西安后海 抖音上又有沙滩又有这那的 结果去了 啥啥没有 光堵车了就跟普通的城市公园一样 没啥区别😾,"#西安旅行,#拍照姿势,#五一去哪玩,#五一假期"
https://www.xiaohongshu.com/explore/642af0f90000000013016109,西安后海攻略,261,152,前提说明我是在周六下午三点多到六点多去的，去早了很晒很热，所以推荐大家在四五点到七八点去最佳(可以同时看到夕阳和黑天那个桥的亮灯)，来得早可以在上面小吃一条街买点小吃(下面会说)乘车方式(不是很推荐大家开车去，因为根本没地方停车，但是要是东西多一定要的话，当我没说)浐灞9号线下车的位置不是观景台的位置，所以要往回走一下(不是很远，差不多看到很多车在堵着就快到了)充电宝在租船的地方有哦注意！后海观景台附近的厕所非常少好像只有几个一个是十字路口附近有一个白房子玻璃的(我去的时候在维修)，还有一个是后海对面有一个草地下去会看到一个像公园的地方(我也不知道是什么地方)往左走会有一个木头的很华丽的房子是厕所 其他我没发现后海对面的小公园可以搭帐篷和铺野餐布野餐，也可以做小烧烤(温馨提示大家如果去野餐的话要把自己的垃圾带走哦)，小公园中有可以骑自行车的通道，好像也有组双人自行车的，空气很好在附近的气球选择性买基本都小贵，但可以借人家卖的来拍照 要小心一点小吃的话大家可以适量尝试，我比较推荐有一个熏肉大饼15和一个老爷爷卖的红豆饼(红豆饼真的很好吃不是很甜我觉得很好吃3一个10四个推荐给大家)其他我还尝试了一个冰粉(一般10/15)刨冰20(踩雷)炸鸡柳(一般般10/15/20)最后还是推荐大家在天气好点的时候去，然后做好防晒还有我没有尝试坐船和快艇什么的所以不知道祝大家拍出美美的照片呦(在拍照的时候有 没有被围栏挡住的岸边要注意安全呦),"#西安后海,#总要去一趟西安的后海吧,#西安后海路线,#西安后海攻略,#西安旅游攻略,#旅游攻略"
